name,Country,Species,Casecode,Period,Decade,Type,Full reference,Study area,Study period,Survey method,Language
Alauda arvensis,DK,A247,DKA247,Migration,,Technical report,"18.	Lausten, M. & Lyngs, P. 2004. Trækfugle på Christiansø 1976-2001. Christianøs Videnskabelige Feltstation.",individual site,1976-2001,Long-term monitoring,Danish
Alauda arvensis,DK,A247,DKA247,Reproduction,,Web-material,9.	DOF Atlas III. Dansk Ornitologisk Forenings fugleatlas 2014-2017: https://dofbasen.dk/atlas/,country,2014-2017,Citizen science data,Danish
Columba oenas,DK,A207,DKA207,Both,,Web-material,DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Columba oenas,DK,A207,DKA207,Reproduction,,Web-material,9.	DOF Atlas III. Dansk Ornitologisk Forenings fugleatlas 2014-2017: https://dofbasen.dk/atlas/,country,2014-2017,Citizen science data,Danish
Corvus frugilegus,DK,A348,DKA348,Both,,Web-material,DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Corvus frugilegus,DK,A348,DKA348,Reproduction,,Web-material,9.	DOF Atlas III. Dansk Ornitologisk Forenings fugleatlas 2014-2017: https://dofbasen.dk/atlas/,country,2014-2017,Citizen science data,Danish
Corvus frugilegus,DK,A348,DKA348,Migration,,Technical report,"18.	Lausten, M. & Lyngs, P. 2004. Trækfugle på Christiansø 1976-2001. Christianøs Videnskabelige Feltstation.",individual site,1976-2001,Long-term monitoring,Danish
Corvus monedula,DK,A347,DKA347,Both,,Web-material,DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Corvus monedula,DK,A347,DKA347,Reproduction,,Web-material,9.	DOF Atlas III. Dansk Ornitologisk Forenings fugleatlas 2014-2017: https://dofbasen.dk/atlas/,country,2014-2017,Citizen science data,Danish
Corvus monedula,DK,A347,DKA347,Migration,,Technical report,"18.	Lausten, M. & Lyngs, P. 2004. Trækfugle på Christiansø 1976-2001. Christianøs Videnskabelige Feltstation.",individual site,1976-2001,Long-term monitoring,Danish
Gallinula chloropus,DK,A123,DKA123,Both,,Web-material,DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Larus cachinnans,DK,A459,DKA459,Both,,Web-material,DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Netta rufina,DK,A058,DKA058,Reproduction,,Web-material,DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Netta rufina,DK,A058,DKA058,Reproduction,,Web-material,9.	DOF Atlas III. Dansk Ornitologisk Forenings fugleatlas 2014-2017: https://dofbasen.dk/atlas/,country,2014-2017,Citizen science data,Danish
Rallus aquaticus,DK,A118,DKA118,Reproduction,,Web-material,DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Streptopelia turtur,DK,A210,DKA210,Migration,,Technical report,"18.	Lausten, M. & Lyngs, P. 2004. Trækfugle på Christiansø 1976-2001. Christianøs Videnskabelige Feltstation.",individual site,1976-2001,Long-term monitoring,Danish
Streptopelia turtur,DK,A210,DKA210,Both,,Web-material,DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Sturnus vulgaris,DK,A351,DKA351,Migration,,Technical report,"18.	Lausten, M. & Lyngs, P. 2004. Trækfugle på Christiansø 1976-2001. Christianøs Videnskabelige Feltstation.",individual site,1976-2001,Long-term monitoring,Danish
Sturnus vulgaris,DK,A351,DKA351,Both,,Web-material,DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Sturnus vulgaris,DK,A351,DKA351,Reproduction,,Web-material,9.	DOF Atlas III. Dansk Ornitologisk Forenings fugleatlas 2014-2017: https://dofbasen.dk/atlas/,country,2014-2017,Citizen science data,Danish
Coturnix coturnix,DK,A113,DKA113,Both,,Web-material,DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Coturnix coturnix,DK,A113,DKA113,Reproduction,,Web-material,9.	DOF Atlas III. Dansk Ornitologisk Forenings fugleatlas 2014-2017: https://dofbasen.dk/atlas/,country,2014-2017,Citizen science data,Danish
Philomachus pugnax,DK,A151,DKA151,Both,,Web-material,DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Philomachus pugnax,DK,A151,DKA151,Reproduction,,Publication: article,"30.	Thorup, O., 1998. Ynglefuglene på Tipperne 1928-1992. Dansk Ornitologisk Forenings Tidsskrift 92, 1-192.",individual site,1928-1992,Long-term monitoring,Danish
Turdus iliacus,DK,A286,DKA286,Migration,,Technical report,"18.	Lausten, M. & Lyngs, P. 2004. Trækfugle på Christiansø 1976-2001. Christianøs Videnskabelige Feltstation.",individual site,1976-2001,Long-term monitoring,Danish
Turdus iliacus,DK,A286,DKA286,Migration,,Web-material,DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Turdus merula,DK,A283,DKA283,Migration,,Technical report,"18.	Lausten, M. & Lyngs, P. 2004. Trækfugle på Christiansø 1976-2001. Christianøs Videnskabelige Feltstation.",individual site,1976-2001,Long-term monitoring,Danish
Turdus merula,DK,A283,DKA283,Both,,Web-material,DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Turdus merula,DK,A283,DKA283,Reproduction,,Web-material,9.	DOF Atlas III. Dansk Ornitologisk Forenings fugleatlas 2014-2017: https://dofbasen.dk/atlas/,country,2014-2017,Citizen science data,Danish
Turdus philomelos,DK,A285,DKA285,Migration,,Technical report,"18.	Lausten, M. & Lyngs, P. 2004. Trækfugle på Christiansø 1976-2001. Christianøs Videnskabelige Feltstation.",individual site,1976-2001,Long-term monitoring,Danish
Turdus philomelos,DK,A285,DKA285,Both,,Web-material,DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Turdus philomelos,DK,A285,DKA285,Reproduction,,Web-material,9.	DOF Atlas III. Dansk Ornitologisk Forenings fugleatlas 2014-2017: https://dofbasen.dk/atlas/,country,2014-2017,Citizen science data,Danish
Turdus pilaris,DK,A284,DKA284,Both,,Web-material,DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Turdus pilaris,DK,A284,DKA284,Reproduction,,Web-material,9.	DOF Atlas III. Dansk Ornitologisk Forenings fugleatlas 2014-2017: https://dofbasen.dk/atlas/,country,2014-2017,Citizen science data,Danish
Turdus viscivorus,DK,A287,DKA287,Migration,,Technical report,"18.	Lausten, M. & Lyngs, P. 2004. Trækfugle på Christiansø 1976-2001. Christianøs Videnskabelige Feltstation.",individual site,1976-2001,Long-term monitoring,Danish
Turdus viscivorus,DK,A287,DKA287,Both,,Web-material,DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Turdus viscivorus,DK,A287,DKA287,Reproduction,,Web-material,9.	DOF Atlas III. Dansk Ornitologisk Forenings fugleatlas 2014-2017: https://dofbasen.dk/atlas/,country,2014-2017,Citizen science data,Danish
Rallus aquaticus,DK,A118,DKA118,Reproduction,,Publication: article,"16.	Kjeldsen, J.P., 2008. Ynglefugle i Vejlerne. Dansk Ornitologisk Forenings Tidsskrift 102, 1-238.",individual site,1978-2003,Long-term monitoring,Danish
Cygnus olor,DK,A036,DKA036,Reproduction,,Web-material,8.	DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Cygnus olor,DK,A036,DKA036,Reproduction,,Web-material,9.	DOF Atlas III. Dansk Ornitologisk Forenings fugleatlas 2014-2017: https://dofbasen.dk/atlas/,country,2014-2017,Citizen science data,Danish
Anser fabalis rossicus,DK,A702,DKA702,Migration,,Web-material,DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Clangula hyemalis,DK,A064,DKA064,Migration,,Web-material,8.	DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Limosa lapponica,DK,A157,DKA157,Migration,,Publication: article,"17.	Laursen, K. & Frikke, J. 2013. Rasende vandfugle i Vadehavet 1980-2010. Dansk Ornitologisk Forenings Tidsskrift 107, 1-184.",part of a country,1980-2010,Long-term monitoring,Danish
Limosa lapponica,DK,A157,DKA157,Migration,,Web-material,8.	DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Numenius phaeopus,DK,A158,DKA158,Migration,,Publication: article,"17.	Laursen, K. & Frikke, J. 2013. Rasende vandfugle i Vadehavet 1980-2010. Dansk Ornitologisk Forenings Tidsskrift 107, 1-184.",part of a country,1980-2010,Long-term monitoring,Danish
Numenius phaeopus,DK,A158,DKA158,Migration,,Web-material,8.	DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Tringa erythropus,DK,A161,DKA161,Migration,,Publication: article,"17.	Laursen, K. & Frikke, J. 2013. Rasende vandfugle i Vadehavet 1980-2010. Dansk Ornitologisk Forenings Tidsskrift 107, 1-184.",part of a country,1980-2010,Long-term monitoring,Danish
Tringa erythropus,DK,A161,DKA161,Migration,,Web-material,8.	DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Tringa nebularia,DK,A164,DKA164,Migration,,Publication: article,"17.	Laursen, K. & Frikke, J. 2013. Rasende vandfugle i Vadehavet 1980-2010. Dansk Ornitologisk Forenings Tidsskrift 107, 1-184.",part of a country,1980-2010,Long-term monitoring,Danish
Tringa nebularia,DK,A164,DKA164,Migration,,Web-material,8.	DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
