name,Country,Species,Casecode,Period,Decade,Type,Full reference,Study area,Study period,Survey method,Language
Netta rufina,CY,A058,CYA058,Both,"Mar II, Mar III, Apr I, Apr II,Apr III, MayI, May II, May III, Jun I, Jun II, Jun III, Jul I, Jul II, Jul III, Dec I, Dec II, Dec III",Technical report,Birdlife Cyprus. (2017). Cyprus Bird Report 2015. Cyprus. Bank of Cyprus.,Cyprus,2015,Birdwatching records,English
Aythya ferina,CY,A059,CYA059,Migration,"Jan I, Jan II, Jan III, Feb I, Feb II, Feb III, Mar I, Oct I, Oct II, Oct III, Nov I, Nov II, Nov III, Dec I, Dec II, Dec III",Technical report,Birdlife Cyprus. (2007). Cyprus Bird Report 2006. Cyprus. Bank of Cyprus.,Cyprus,2006,Birdwatching records,English
Aythya ferina,CY,A059,CYA059,Migration,"Jan I, Jan II, Jan III, Feb I, Feb II, Feb III, Mar I, Oct II, Oct III, Nov I, Nov II, Nov III, Dec I, Dec II, Dec III",Technical report,Birdlife Cyprus. (2011). Cyprus Bird Report 2010. Cyprus. Bank of Cyprus.,Cyprus,2010,Birdwatching records,English
Aythya ferina,CY,A059,CYA059,Migration,"Jan I, Jan II, Jan III, Feb I, Feb II, Sep II, Sep III, Oct II,Nov I, Nov II, Nov III, Dec I, Dec II, Dec III",Technical report,Birdlife Cyprus. (2016). Cyprus Bird Report 2014. Cyprus. Bank of Cyprus.,Cyprus,2014,Birdwatching records,English
Aythya ferina,CY,A059,CYA059,Migration,"Jan I, Jan II, Jan III, Feb I, Feb II,Feb III, Mar I, Sep III, Oct I,Oct II, Oct III, Nov I, Nov II, Nov III, Dec I, Dec II, Dec III",Technical report,Birdlife Cyprus. (2018). Cyprus Bird Report 2016. Cyprus. Bank of Cyprus.,Cyprus,2016,Birdwatching records,English
Aythya fuligula,CY,A061,CYA061,Migration,"Jan I, Jan II, Jan III, Feb I, Feb II, Feb III, Mar I, Dec II, Dec III",Technical report,Birdlife Cyprus. (2007). Cyprus Bird Report 2006. Cyprus. Bank of Cyprus.,Cyprus,2006,Birdwatching records,English
Aythya fuligula,CY,A061,CYA061,Migration,"Jan I, Jan II, Jan III, Feb I, Feb II, Feb III",Technical report,Birdlife Cyprus. (2010). Cyprus Bird Report 2009. Cyprus. Bank of Cyprus.,Cyprus,2009,Birdwatching records,English
Tringa erythropus,DE,A161,DEA161,Migration,,Publication: article,"Blew, J., K. Günther & P. Südbeck (2005): Bestandsentwicklung der im deutschen Wattenmeer rastenden Wat- und Wasservögel von 1987/1988 bis 2001/2002. Vogelwelt 126: 99–125.",part of a country,up to 2002,Analysis of Waterbird Census,German
Branta canadensis,DE,A044,DEA044,Migration,,Publication: book,"Heinicke, T. & U. Köppen (2007): Vogelzug in Ostdeutschland I – Wasservögel, Teil 1. Berichte der Vogelwarte Hiddensee 18: 1–406.",part of a country,,Ringing atlas,German
Bucephala clangula,DE,A067,DEA067,Migration,,Publication: book,"Werner, S., H.-G. Bauer, G. Heine, H. Jacoby & H. Stark (2018): 55 Jahre Wasservogelzählung am Bodensee - Bestandsentwicklung der Wasservögel 1961/62 bis 2015/16. Ornithologischer Beobachter Beiheft 13.",part of a country,up to 2016,Analysis of Waterbird Census,German
Rallus aquaticus,DE,A118,DEA118,Migration,,Publication: book,"Dierschke, J., V. Dierschke, K. Hüppop, O. Hüppop & K. F. Jachmann (2011): Die Vogelwelt der Insel Helgoland. OAG Helgoland, Helgoland.",part of a country,up to 2009,Analysis of Citizen Science data,German
Gallinula chloropus,DE,A123,DEA123,Migration,,Publication: book,"Dierschke, J., V. Dierschke, K. Hüppop, O. Hüppop & K. F. Jachmann (2011): Die Vogelwelt der Insel Helgoland. OAG Helgoland, Helgoland.",part of a country,up to 2009,Analysis of Citizen Science data,German
Haematopus ostralegus,DE,A130,DEA130,Migration,,Publication: article,"Blew, J., K. Günther & P. Südbeck (2005): Bestandsentwicklung der im deutschen Wattenmeer rastenden Wat- und Wasservögel von 1987/1988 bis 2001/2002. Vogelwelt 126: 99–125.",part of a country,up to 2002,Analysis of Waterbird Census,German
Cygnus olor,AT,A036,ATA036,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Anser fabalis,AT,A039,ATA039,Migration,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Anser fabalis,AT,A039,ATA039,Migration,,Publication: article,"Laber, J. & A. Pellinger (2008): Die durchziehenden und überwinternden Gänsebestände der Gattung Anser und Branta im Nationalpark Neusiedler See - Seewinkel. Egretta 49: 35-51",individual site,1983-2006,regular census,german
Anser fabalis,AT,A039,ATA039,Migration,,Publication: article,"Laber, J. & A. Pellinger (2012): Die durchziehenden und überwinternden Gänse im Nationalpark Neusiedler See - Seewinkel in den Winterhalbjahren 2006/07 bis 2010/11. Vogelkundl. Nachr. Ostösterr. 22(3/4): 1-8",individual site,2006-2011,regular census,german
Anser fabalis,AT,A039,ATA039,Migration,,Technical report,"Laber, J. & A. Pellinger (2018): Gänsebestände der Gattungen Anser & Branta am Durchzug und im Winter 2017/18 im Nationalpark Neusiedler See/Seewinkel. Ornithologisches Monitoring im Nationalpark Neusiedler See - Seewinkel. Bericht über das Jahr 2018. Stu",individual site,2017-2018,regular census,german
Anser albifrons,AT,A041,ATA041,Migration,,Publication: article,"Laber, J. & A. Pellinger (2012): Die durchziehenden und überwinternden Gänse im Nationalpark Neusiedler See - Seewinkel in den Winterhalbjahren 2006/07 bis 2010/11. Vogelkundl. Nachr. Ostösterr. 22(3/4): 1-8",individual site,2006-2011,regular census,german
Anser albifrons,AT,A041,ATA041,Migration,,Technical report,"Laber, J. & A. Pellinger (2018): Gänsebestände der Gattungen Anser & Branta am Durchzug und im Winter 2017/18 im Nationalpark Neusiedler See/Seewinkel. Ornithologisches Monitoring im Nationalpark Neusiedler See - Seewinkel. Bericht über das Jahr 2018. Stu",individual site,2017-2018,regular census,german
Anser anser,AT,A043,ATA043,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,
Anser anser,AT,A043,ATA043,Migration,,Publication: article,"Laber, J. & A. Pellinger (2008): Die durchziehenden und überwinternden Gänsebestände der Gattung Anser und Branta im Nationalpark Neusiedler See - Seewinkel. Egretta 49: 35-51",individual site,1983-2006,regular census,german
Anser anser,AT,A043,ATA043,Migration,,Publication: article,"Laber, J. & A. Pellinger (2012): Die durchziehenden und überwinternden Gänse im Nationalpark Neusiedler See - Seewinkel in den Winterhalbjahren 2006/07 bis 2010/11. Vogelkundl. Nachr. Ostösterr. 22(3/4): 1-8",individual site,2006-2011,regular census,german
Anser anser,AT,A043,ATA043,Migration,,Technical report,"Laber, J. & A. Pellinger (2018): Gänsebestände der Gattungen Anser & Branta am Durchzug und im Winter 2017/18 im Nationalpark Neusiedler See/Seewinkel. Ornithologisches Monitoring im Nationalpark Neusiedler See - Seewinkel. Bericht über das Jahr 2018. Stu",individual site,2017-2018,regular census,german
Anser anser,AT,A043,ATA043,Both,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Anas strepera,AT,A051,ATA051,Reproduction,,Other,"A. Schuster, unpubl. surveys",part of a country,1990 - ongoing,research,german
Anas acuta,AT,A054,ATA054,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Anas acuta,AT,A054,ATA054,Migration,,Publication: book,"Feldner, J., W. Petutschnig, R. Probst, S. Wagner, G. Malle & R. K. Buschenreiter (2008): Avifauna Kärntnes - Bd. 2: Die Gastvögel. Naturwissenschaftlicher Verein für Kärnten, Klagenfurt, 464 p.",part of a country,all data until 2007,data analysis,german
Mergus serrator,AT,A069,ATA069,Migration,,Publication: book,"Heine, G., H. Jacoby, H. Leuzinger & H. Stark (1999): Die Vögel des Bodenseegebietes. Orn. Jh. Bad.-Württ. 14/15, 847 p.",individual site,1960-1995,"monitoring, census, citizen science",german
Mergus serrator,AT,A069,ATA069,Migration,,Publication: book,"Feldner, J., W. Petutschnig, R. Probst, S. Wagner, G. Malle & R. K. Buschenreiter (2008): Avifauna Kärntnes - Bd. 2: Die Gastvögel. Naturwissenschaftlicher Verein für Kärnten, Klagenfurt, 464 p.",part of a country,all data until 2007,data analysis,german
Bonasa bonasia,AT,A104,ATA104,Reproduction,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Lagopus mutus,AT,A106,ATA106,Reproduction,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Tetrao tetrix,AT,A107,ATA107,Reproduction,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Tetrao urogallus,AT,A108,ATA108,Reproduction,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Alectoris graeca,AT,A109,ATA109,Reproduction,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Coturnix coturnix,AT,A113,ATA113,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Phasianus colchicus,AT,A115,ATA115,Reproduction,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Gallinula chloropus,AT,A123,ATA123,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2015,data analysis,german
Gallinula chloropus,AT,A123,ATA123,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2019,citizen science,german
Fulica atra,AT,A125,ATA125,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2016,data analysis,german
Fulica atra,AT,A125,ATA125,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2019,citizen science,german
Pluvialis apricaria,AT,A140,ATA140,Migration,,Publication: book,"Heine, G., H. Jacoby, H. Leuzinger & H. Stark (1999): Die Vögel des Bodenseegebietes. Orn. Jh. Bad.-Württ. 14/15, 847 p.",individual site,1960-1995,"monitoring, regular census, citizen science",german
Pluvialis apricaria,AT,A140,ATA140,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Pluvialis apricaria,AT,A140,ATA140,Migration,,Publication: book,"Feldner, J., W. Petutschnig, R. Probst, S. Wagner, G. Malle & R. K. Buschenreiter (2008): Avifauna Kärntnes - Bd. 2: Die Gastvögel. Naturwissenschaftlicher Verein für Kärnten, Klagenfurt, 464 p.",part of a country,all data until 2007,data analysis,german
Pluvialis squatarola,AT,A141,ATA141,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Pluvialis squatarola,AT,A141,ATA141,Migration,,Publication: book,"Feldner, J., W. Petutschnig, R. Probst, S. Wagner, G. Malle & R. K. Buschenreiter (2008): Avifauna Kärntnes - Bd. 2: Die Gastvögel. Naturwissenschaftlicher Verein für Kärnten, Klagenfurt, 464 p.",part of a country,all data until 2007,data analysis,german
Pluvialis squatarola,AT,A141,ATA141,Migration,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Vanellus vanellus,AT,A142,ATA142,Migration,,Publication: book,"Heine, G., H. Jacoby, H. Leuzinger & H. Stark (1999): Die Vögel des Bodenseegebietes. Orn. Jh. Bad.-Württ. 14/15, 847 p.",individual site,1960-1995,"monitoring, census, citizen science",german
Vanellus vanellus,AT,A142,ATA142,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Vanellus vanellus,AT,A142,ATA142,Reproduction,,Publication: book,"Kilzer, R., G. Willi & G. Kilzer (2011): Atlas der Brutvögel Vorarlbergs. BirdLife Österreich - Landesgruppe Vorarlberg, Hohenems, 443 p.",part of a country,2001-2008,citizen science,german
Vanellus vanellus,AT,A142,ATA142,Reproduction,,Other,"Khil, M.-L. (2015): Important factors for predation of northern Lapwing Vanellus vanellus nests in a central European lowland pasture system.",individual site,2014,research,english
Philomachus pugnax,AT,A151,ATA151,Migration,,Publication: article,"Laber, J. (2003): Die Limikolen des österreichisch/ungarischen Seewinkels. Egretta 46: 1-91.",individual site,1995-2001,regular census,german
Philomachus pugnax,AT,A151,ATA151,Migration,,Publication: book,"Heine, G., H. Jacoby, H. Leuzinger & H. Stark (1999): Die Vögel des Bodenseegebietes. Orn. Jh. Bad.-Württ. 14/15, 847 p.",individual site,1960-1995,"monitorin, census, citizen science",german
Philomachus pugnax,AT,A151,ATA151,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Philomachus pugnax,AT,A151,ATA151,Migration,,Publication: book,"Feldner, J., W. Petutschnig, R. Probst, S. Wagner, G. Malle & R. K. Buschenreiter (2008): Avifauna Kärntnes - Bd. 2: Die Gastvögel. Naturwissenschaftlicher Verein für Kärnten, Klagenfurt, 464 p.",part of a country,all data until 2007,data analysis,german
Philomachus pugnax,AT,A151,ATA151,Migration,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,,german
Lymnocryptes minimus,AT,A152,ATA152,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Lymnocryptes minimus,AT,A152,ATA152,Migration,,Publication: book,"Feldner, J., W. Petutschnig, R. Probst, S. Wagner, G. Malle & R. K. Buschenreiter (2008): Avifauna Kärntnes - Bd. 2: Die Gastvögel. Naturwissenschaftlicher Verein für Kärnten, Klagenfurt, 464 p.",part of a country,all data until 2007,data analysis,german
Lymnocryptes minimus,AT,A152,ATA152,Migration,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Lymnocryptes minimus,AT,A152,ATA152,Migration,,Publication: book,"Heine, G., H. Jacoby, H. Leuzinger & H. Stark (1999): Die Vögel des Bodenseegebietes. Orn. Jh. Bad.-Württ. 14/15, 847 p.",individual site,1960-1995,"monitoring, census, citizen science",german
Gallinago gallinago,AT,A153,ATA153,Migration,,Publication: article,"Laber, J. (2003): Die Limikolen des österreichisch/ungarischen Seewinkels. Egretta 46: 1-91.",individual site,1995-2001,regular census,
Gallinago gallinago,AT,A153,ATA153,Migration,,Publication: book,"Heine, G., H. Jacoby, H. Leuzinger & H. Stark (1999): Die Vögel des Bodenseegebietes. Orn. Jh. Bad.-Württ. 14/15, 847 p.",individual site,1960-1995,"monitoring, census, citizen science",
Gallinago gallinago,AT,A153,ATA153,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,
Gallinago gallinago,AT,A153,ATA153,Migration,,Publication: book,"Feldner, J., W. Petutschnig, R. Probst, S. Wagner, G. Malle & R. K. Buschenreiter (2008): Avifauna Kärntnes - Bd. 2: Die Gastvögel. Naturwissenschaftlicher Verein für Kärnten, Klagenfurt, 464 p.",part of a country,all data until 2007,data analysis,
Gallinago gallinago,AT,A153,ATA153,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,
Gallinago gallinago,AT,A153,ATA153,Reproduction,,Publication: book,"Kilzer, R., G. Willi & G. Kilzer (2011): Atlas der Brutvögel Vorarlbergs. BirdLife Österreich - Landesgruppe Vorarlberg, Hohenems, 443 p.",part of a country,2001-2008,citizen science,
Scolopax rusticola,AT,A155,ATA155,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Limosa limosa,AT,A156,ATA156,Migration,,Publication: article,"Laber, J. (2003): Die Limikolen des österreichisch/ungarischen Seewinkels. Egretta 46: 1-91.",individual site,1995-2001,regular census,german
Limosa limosa,AT,A156,ATA156,Migration,,Publication: book,"Heine, G., H. Jacoby, H. Leuzinger & H. Stark (1999): Die Vögel des Bodenseegebietes. Orn. Jh. Bad.-Württ. 14/15, 847 p.",individual site,1960-1995,"monitoring, census, citizen science",german
Limosa limosa,AT,A156,ATA156,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Limosa limosa,AT,A156,ATA156,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Limosa limosa,AT,A156,ATA156,Reproduction,,Publication: book,"Kilzer, R., G. Willi & G. Kilzer (2011): Atlas der Brutvögel Vorarlbergs. BirdLife Österreich - Landesgruppe Vorarlberg, Hohenems, 443 p.",part of a country,2001-2008,citizen science,german
Numenius phaeopus,AT,A158,ATA158,Migration,,Publication: book,"Heine, G., H. Jacoby, H. Leuzinger & H. Stark (1999): Die Vögel des Bodenseegebietes. Orn. Jh. Bad.-Württ. 14/15, 847 p.",individual site,1960-1995,"monitoring, census, citizen science",german
Numenius phaeopus,AT,A158,ATA158,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Numenius phaeopus,AT,A158,ATA158,Migration,,Publication: book,"Feldner, J., W. Petutschnig, R. Probst, S. Wagner, G. Malle & R. K. Buschenreiter (2008): Avifauna Kärntnes - Bd. 2: Die Gastvögel. Naturwissenschaftlicher Verein für Kärnten, Klagenfurt, 464 p.",part of a country,all data until 2007,data analysis,german
Numenius arquata,AT,A160,ATA160,Migration,,Publication: book,"Heine, G., H. Jacoby, H. Leuzinger & H. Stark (1999): Die Vögel des Bodenseegebietes. Orn. Jh. Bad.-Württ. 14/15, 847 p.",individual site,1960-1995,"monitoring, census, citizen science",german
Numenius arquata,AT,A160,ATA160,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Numenius arquata,AT,A160,ATA160,Migration,,Publication: book,"Feldner, J., W. Petutschnig, R. Probst, S. Wagner, G. Malle & R. K. Buschenreiter (2008): Avifauna Kärntnes - Bd. 2: Die Gastvögel. Naturwissenschaftlicher Verein für Kärnten, Klagenfurt, 464 p.",part of a country,all data until 2007,data analysis,german
Numenius arquata,AT,A160,ATA160,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Numenius arquata,AT,A160,ATA160,Reproduction,,Publication: book,"Kilzer, R., G. Willi & G. Kilzer (2011): Atlas der Brutvögel Vorarlbergs. BirdLife Österreich - Landesgruppe Vorarlberg, Hohenems, 443 p.",part of a country,2001-2008,citizen science,german
Tringa erythropus,AT,A161,ATA161,Migration,,Publication: book,"Heine, G., H. Jacoby, H. Leuzinger & H. Stark (1999): Die Vögel des Bodenseegebietes. Orn. Jh. Bad.-Württ. 14/15, 847 p.",individual site,1960-1995,"monitoring, census, citizen science",german
Tringa erythropus,AT,A161,ATA161,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Tringa erythropus,AT,A161,ATA161,Migration,,Publication: book,"Feldner, J., W. Petutschnig, R. Probst, S. Wagner, G. Malle & R. K. Buschenreiter (2008): Avifauna Kärntnes - Bd. 2: Die Gastvögel. Naturwissenschaftlicher Verein für Kärnten, Klagenfurt, 464 p.",part of a country,all data until 2007,data analysis,german
Tringa erythropus,AT,A161,ATA161,Migration,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Tringa erythropus,AT,A161,ATA161,Migration,,Publication: article,"Laber, J. (2003): Die Limikolen des österreichisch/ungarischen Seewinkels. Egretta 46: 1-91.",individual site,1995-2001,regular census,german
Tringa totanus,AT,A162,ATA162,Migration,,Publication: book,"Heine, G., H. Jacoby, H. Leuzinger & H. Stark (1999): Die Vögel des Bodenseegebietes. Orn. Jh. Bad.-Württ. 14/15, 847 p.",individual site,1960-1995,"monitoring, census, citizen science",german
Tringa totanus,AT,A162,ATA162,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Tringa totanus,AT,A162,ATA162,Migration,,Publication: book,"Feldner, J., W. Petutschnig, R. Probst, S. Wagner, G. Malle & R. K. Buschenreiter (2008): Avifauna Kärntnes - Bd. 2: Die Gastvögel. Naturwissenschaftlicher Verein für Kärnten, Klagenfurt, 464 p.",part of a country,all data until 2007,data analysis,german
Tringa totanus,AT,A162,ATA162,Migration,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Tringa nebularia,AT,A164,ATA164,Migration,,Publication: book,"Heine, G., H. Jacoby, H. Leuzinger & H. Stark (1999): Die Vögel des Bodenseegebietes. Orn. Jh. Bad.-Württ. 14/15, 847 p.",individual site,1960-1995,"monitoring, census, citizen science",german
Tringa nebularia,AT,A164,ATA164,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Tringa nebularia,AT,A164,ATA164,Migration,,Publication: book,"Feldner, J., W. Petutschnig, R. Probst, S. Wagner, G. Malle & R. K. Buschenreiter (2008): Avifauna Kärntnes - Bd. 2: Die Gastvögel. Naturwissenschaftlicher Verein für Kärnten, Klagenfurt, 464 p.",part of a country,all data until 2007,data analysis,german
Tringa nebularia,AT,A164,ATA164,Migration,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Tringa nebularia,AT,A164,ATA164,Migration,,Publication: article,"Laber, J. (2003): Die Limikolen des österreichisch/ungarischen Seewinkels. Egretta 46: 1-91.",individual site,1995-2001,regular census,german
Larus ridibundus,AT,A179,ATA179,Migration,,Publication: book,"Heine, G., H. Jacoby, H. Leuzinger & H. Stark (1999): Die Vögel des Bodenseegebietes. Orn. Jh. Bad.-Württ. 14/15, 847 p.",individual site,1960-1995,"monitoring, census, citizen science",german
Larus ridibundus,AT,A179,ATA179,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Larus ridibundus,AT,A179,ATA179,Migration,,Publication: book,"Feldner, J., W. Petutschnig, R. Probst, S. Wagner, G. Malle & R. K. Buschenreiter (2008): Avifauna Kärntnes - Bd. 2: Die Gastvögel. Naturwissenschaftlicher Verein für Kärnten, Klagenfurt, 464 p.",part of a country,all data until 2007,data analysis,german
Larus ridibundus,AT,A179,ATA179,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Larus ridibundus,AT,A179,ATA179,Reproduction,,Publication: book,"Kilzer, R., G. Willi & G. Kilzer (2011): Atlas der Brutvögel Vorarlbergs. BirdLife Österreich - Landesgruppe Vorarlberg, Hohenems, 443 p.",part of a country,2001-2008,citizen science,german
Larus canus,AT,A182,ATA182,Migration,,Publication: book,"Heine, G., H. Jacoby, H. Leuzinger & H. Stark (1999): Die Vögel des Bodenseegebietes. Orn. Jh. Bad.-Württ. 14/15, 847 p.",individual site,1960-1995,"monitoring, census, citizen science",german
Larus canus,AT,A182,ATA182,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Larus canus,AT,A182,ATA182,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Larus canus,AT,A182,ATA182,Reproduction,,Publication: book,"Kilzer, R., G. Willi & G. Kilzer (2011): Atlas der Brutvögel Vorarlbergs. BirdLife Österreich - Landesgruppe Vorarlberg, Hohenems, 443 p.",part of a country,2001-2008,citizen science,german
